icao,season,period,view,condition,taf_forecast,taf_hit,taf_pct,metar_observed,metar_caught,metar_pct
SBAR,Inverno,12-18,sem_intensidade,TSRA,3,0,0.0,0,0,
SBAR,Inverno,12-18,sem_intensidade,+RA,0,0,,1,0,0.0
SBAR,Inverno,18-24,exato,TS,0,0,,0,0,
SBAR,Inverno,18-24,exato,+RA,0,0,,0,0,
SBAR,Inverno,18-24,exato,+TSRA,0,0,,0,0,
SBAR,Inverno,18-24,exato,TSRA,0,0,,0,0,
SBAR,Inverno,18-24,sem_intensidade,TS,0,0,,0,0,
SBAR,Inverno,18-24,sem_intensidade,TSRA,0,0,,0,0,
SBAR,Inverno,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAR,Inverno,TODOS,exato,TS,0,0,,0,0,
SBAR,Inverno,TODOS,exato,+RA,0,0,,5,0,0.0
SBAR,Inverno,TODOS,exato,+TSRA,1,0,0.0,0,0,
SBAR,Inverno,TODOS,exato,TSRA,3,0,0.0,0,0,
SBAR,Inverno,TODOS,sem_intensidade,TS,0,0,,0,0,
SBAR,Inverno,TODOS,sem_intensidade,TSRA,4,0,0.0,0,0,
SBAR,Inverno,TODOS,sem_intensidade,+RA,0,0,,5,0,0.0
SBAR,Primavera,00-06,exato,TS,0,0,,0,0,
SBAR,Primavera,00-06,exato,+RA,0,0,,0,0,
SBAR,Primavera,00-06,exato,+TSRA,0,0,,0,0,
SBAR,Primavera,00-06,exato,TSRA,0,0,,0,0,
SBAR,Primavera,00-06,sem_intensidade,TS,0,0,,0,0,
SBAR,Primavera,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAR,Primavera,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAR,Primavera,06-12,exato,TS,0,0,,0,0,
SBAR,Primavera,06-12,exato,+RA,0,0,,0,0,
SBAR,Primavera,06-12,exato,+TSRA,0,0,,0,0,
SBAR,Primavera,06-12,exato,TSRA,0,0,,0,0,
SBAR,Primavera,06-12,sem_intensidade,TS,0,0,,0,0,
SBAR,Primavera,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAR,Primavera,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAR,Primavera,12-18,exato,TS,0,0,,0,0,
SBAR,Primavera,12-18,exato,+RA,0,0,,1,0,0.0
SBAR,Primavera,12-18,exato,+TSRA,0,0,,0,0,
SBAR,Primavera,12-18,exato,TSRA,0,0,,0,0,
SBAR,Primavera,12-18,sem_intensidade,TS,0,0,,0,0,
SBAR,Primavera,12-18,sem_intensidade,TSRA,0,0,,0,0,
SBAR,Primavera,12-18,sem_intensidade,+RA,0,0,,1,0,0.0
SBAR,Primavera,18-24,exato,TS,0,0,,0,0,
SBAR,Primavera,18-24,exato,+RA,0,0,,1,0,0.0
SBAR,Primavera,18-24,exato,+TSRA,0,0,,0,0,
SBAR,Primavera,18-24,exato,TSRA,0,0,,0,0,
SBAR,Primavera,18-24,sem_intensidade,TS,0,0,,0,0,
SBAR,Primavera,18-24,sem_intensidade,TSRA,0,0,,0,0,
SBAR,Primavera,18-24,sem_intensidade,+RA,0,0,,1,0,0.0
SBAR,Primavera,TODOS,exato,TS,0,0,,0,0,
SBAR,Primavera,TODOS,exato,+RA,0,0,,2,0,0.0
SBAR,Primavera,TODOS,exato,+TSRA,0,0,,0,0,
SBAR,Primavera,TODOS,exato,TSRA,0,0,,0,0,
SBAR,Primavera,TODOS,sem_intensidade,TS,0,0,,0,0,
SBAR,Primavera,TODOS,sem_intensidade,TSRA,0,0,,0,0,
