icao,season,period,n_comparable,correct,false_positive,miss,pct_correct
SBVT,Verao,18-24,16,14,2,0,87.5
SBVT,Verao,TODOS,38,34,3,1,89.5
SBVT,Outono,00-06,1,0,0,1,0.0
SBVT,Outono,06-12,2,2,0,0,100.0
SBVT,Outono,12-18,2,2,0,0,100.0
SBVT,Outono,18-24,5,4,0,1,80.0
SBVT,Outono,TODOS,10,8,0,2,80.0
SBVT,Inverno,00-06,2,1,0,1,50.0
SBVT,Inverno,06-12,8,7,0,1,87.5
SBVT,Inverno,12-18,6,6,0,0,100.0
SBVT,Inverno,18-24,13,10,2,1,76.9
SBVT,Inverno,TODOS,29,24,2,3,82.8
SBVT,Primavera,00-06,4,3,1,0,75.0
SBVT,Primavera,06-12,15,9,4,2,60.0
SBVT,Primavera,12-18,3,3,0,0,100.0
SBVT,Primavera,18-24,18,16,2,0,88.9
SBVT,Primavera,TODOS,40,31,7,2,77.5
SBVT,TODAS,00-06,10,7,1,2,70.0
SBVT,TODAS,06-12,33,24,5,4,72.7
SBVT,TODAS,12-18,22,22,0,0,100.0
SBVT,TODAS,18-24,52,44,6,2,84.6
SBVT,TODAS,TODOS,117,97,12,8,82.9
TODOS,Verao,00-06,7272,5964,520,788,82.0
TODOS,Verao,06-12,4427,3569,548,310,80.6
TODOS,Verao,12-18,9694,8249,522,923,85.1
TODOS,Verao,18-24,10424,7640,1923,861,73.3
TODOS,Verao,TODOS,31817,25422,3513,2882,79.9
TODOS,Outono,00-06,7006,6020,569,417,85.9
TODOS,Outono,06-12,4243,3343,558,342,78.8
TODOS,Outono,12-18,9876,8616,575,685,87.2
TODOS,Outono,18-24,11094,9338,1229,527,84.2
TODOS,Outono,TODOS,32219,27317,2931,1971,84.8
TODOS,Inverno,00-06,7609,6865,416,328,90.2
TODOS,Inverno,06-12,4719,3948,471,300,83.7
TODOS,Inverno,12-18,10178,9398,360,420,92.3
TODOS,Inverno,18-24,11076,10038,603,435,90.6
TODOS,Inverno,TODOS,33582,30249,1850,1483,90.1
TODOS,Primavera,00-06,7229,6469,369,391,89.5
TODOS,Primavera,06-12,4506,3932,303,271,87.3
TODOS,Primavera,12-18,9639,8712,390,537,90.4
TODOS,Primavera,18-24,10451,8892,1102,457,85.1
TODOS,Primavera,TODOS,31825,28005,2164,1656,88.0
TODOS,TODAS,00-06,29116,25318,1874,1924,87.0
