icao,season,period,view,condition,taf_forecast,taf_hit,taf_pct,metar_observed,metar_caught,metar_pct
SBAC,TODAS,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAC,TODAS,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAC,TODAS,06-12,exato,TS,0,0,,0,0,
SBAC,TODAS,06-12,exato,+RA,0,0,,0,0,
SBAC,TODAS,06-12,exato,+TSRA,0,0,,0,0,
SBAC,TODAS,06-12,exato,TSRA,0,0,,0,0,
SBAC,TODAS,06-12,sem_intensidade,TS,0,0,,0,0,
SBAC,TODAS,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAC,TODAS,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAC,TODAS,12-18,exato,TS,0,0,,0,0,
SBAC,TODAS,12-18,exato,+RA,0,0,,0,0,
SBAC,TODAS,12-18,exato,+TSRA,0,0,,0,0,
SBAC,TODAS,12-18,exato,TSRA,0,0,,0,0,
SBAC,TODAS,12-18,sem_intensidade,TS,0,0,,0,0,
SBAC,TODAS,12-18,sem_intensidade,TSRA,0,0,,0,0,
SBAC,TODAS,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAC,TODAS,18-24,exato,TS,0,0,,0,0,
SBAC,TODAS,18-24,exato,+RA,0,0,,0,0,
SBAC,TODAS,18-24,exato,+TSRA,0,0,,0,0,
SBAC,TODAS,18-24,exato,TSRA,0,0,,0,0,
SBAC,TODAS,18-24,sem_intensidade,TS,0,0,,0,0,
SBAC,TODAS,18-24,sem_intensidade,TSRA,0,0,,0,0,
SBAC,TODAS,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAC,TODAS,TODOS,exato,TS,0,0,,0,0,
SBAC,TODAS,TODOS,exato,+RA,0,0,,0,0,
SBAC,TODAS,TODOS,exato,+TSRA,0,0,,0,0,
SBAC,TODAS,TODOS,exato,TSRA,0,0,,0,0,
SBAC,TODAS,TODOS,sem_intensidade,TS,0,0,,0,0,
SBAC,TODAS,TODOS,sem_intensidade,TSRA,0,0,,0,0,
SBAC,TODAS,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAQ,Verao,00-06,exato,TS,0,0,,0,0,
SBAQ,Verao,00-06,exato,+RA,0,0,,0,0,
SBAQ,Verao,00-06,exato,+TSRA,0,0,,0,0,
SBAQ,Verao,00-06,exato,TSRA,0,0,,0,0,
SBAQ,Verao,00-06,sem_intensidade,TS,0,0,,0,0,
SBAQ,Verao,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAQ,Verao,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAQ,Verao,06-12,exato,TS,0,0,,0,0,
SBAQ,Verao,06-12,exato,+RA,0,0,,0,0,
SBAQ,Verao,06-12,exato,+TSRA,0,0,,0,0,
SBAQ,Verao,06-12,exato,TSRA,0,0,,0,0,
SBAQ,Verao,06-12,sem_intensidade,TS,0,0,,0,0,
SBAQ,Verao,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAQ,Verao,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAQ,Verao,12-18,exato,TS,0,0,,0,0,
SBAQ,Verao,12-18,exato,+RA,0,0,,0,0,
SBAQ,Verao,12-18,exato,+TSRA,0,0,,0,0,
SBAQ,Verao,12-18,exato,TSRA,0,0,,0,0,
SBAQ,Verao,12-18,sem_intensidade,TS,0,0,,0,0,
SBAQ,Verao,12-18,sem_intensidade,TSRA,0,0,,0,0,
SBAQ,Verao,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAQ,Verao,18-24,exato,TS,0,0,,0,0,
SBAQ,Verao,18-24,exato,+RA,0,0,,0,0,
SBAQ,Verao,18-24,exato,+TSRA,0,0,,0,0,
SBAQ,Verao,18-24,exato,TSRA,0,0,,0,0,
SBAQ,Verao,18-24,sem_intensidade,TS,0,0,,0,0,
SBAQ,Verao,18-24,sem_intensidade,TSRA,0,0,,0,0,
SBAQ,Verao,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAQ,Verao,TODOS,exato,TS,0,0,,0,0,
SBAQ,Verao,TODOS,exato,+RA,0,0,,0,0,
SBAQ,Verao,TODOS,exato,+TSRA,0,0,,0,0,
SBAQ,Verao,TODOS,exato,TSRA,0,0,,0,0,
SBAQ,Verao,TODOS,sem_intensidade,TS,0,0,,0,0,
SBAQ,Verao,TODOS,sem_intensidade,TSRA,0,0,,0,0,
SBAQ,Verao,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAQ,Outono,00-06,exato,TS,0,0,,0,0,
SBAQ,Outono,00-06,exato,+RA,0,0,,0,0,
SBAQ,Outono,00-06,exato,+TSRA,0,0,,0,0,
SBAQ,Outono,00-06,exato,TSRA,0,0,,0,0,
SBAQ,Outono,00-06,sem_intensidade,TS,0,0,,0,0,
SBAQ,Outono,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAQ,Outono,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAQ,Outono,06-12,exato,TS,0,0,,0,0,
SBAQ,Outono,06-12,exato,+RA,0,0,,0,0,
SBAQ,Outono,06-12,exato,+TSRA,0,0,,0,0,
SBAQ,Outono,06-12,exato,TSRA,0,0,,0,0,
SBAQ,Outono,06-12,sem_intensidade,TS,0,0,,0,0,
SBAQ,Outono,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAQ,Outono,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAQ,Outono,12-18,exato,TS,0,0,,0,0,
SBAQ,Outono,12-18,exato,+RA,0,0,,0,0,
SBAQ,Outono,12-18,exato,+TSRA,0,0,,0,0,
SBAQ,Outono,12-18,exato,TSRA,0,0,,0,0,
SBAQ,Outono,12-18,sem_intensidade,TS,0,0,,0,0,
SBAQ,Outono,12-18,sem_intensidade,TSRA,0,0,,0,0,
SBAQ,Outono,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAQ,Outono,18-24,exato,TS,0,0,,0,0,
SBAQ,Outono,18-24,exato,+RA,0,0,,0,0,
SBAQ,Outono,18-24,exato,+TSRA,0,0,,0,0,
SBAQ,Outono,18-24,exato,TSRA,0,0,,0,0,
SBAQ,Outono,18-24,sem_intensidade,TS,0,0,,0,0,
SBAQ,Outono,18-24,sem_intensidade,TSRA,0,0,,0,0,
SBAQ,Outono,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAQ,Outono,TODOS,exato,TS,0,0,,0,0,
SBAQ,Outono,TODOS,exato,+RA,0,0,,0,0,
SBAQ,Outono,TODOS,exato,+TSRA,0,0,,0,0,
