icao,season,period,n_comparable,correct,false_positive,miss,pct_correct
SBTU,Verao,12-18,0,0,0,0,
SBTU,Verao,18-24,0,0,0,0,
SBTU,Verao,TODOS,0,0,0,0,
SBTU,Outono,00-06,0,0,0,0,
SBTU,Outono,06-12,0,0,0,0,
SBTU,Outono,12-18,0,0,0,0,
SBTU,Outono,18-24,0,0,0,0,
SBTU,Outono,TODOS,0,0,0,0,
SBTU,Inverno,00-06,0,0,0,0,
SBTU,Inverno,06-12,0,0,0,0,
SBTU,Inverno,12-18,0,0,0,0,
SBTU,Inverno,18-24,0,0,0,0,
SBTU,Inverno,TODOS,0,0,0,0,
SBTU,Primavera,00-06,0,0,0,0,
SBTU,Primavera,06-12,0,0,0,0,
SBTU,Primavera,12-18,0,0,0,0,
SBTU,Primavera,18-24,0,0,0,0,
SBTU,Primavera,TODOS,0,0,0,0,
SBTU,TODAS,00-06,0,0,0,0,
SBTU,TODAS,06-12,0,0,0,0,
SBTU,TODAS,12-18,0,0,0,0,
SBTU,TODAS,18-24,0,0,0,0,
SBTU,TODAS,TODOS,0,0,0,0,
SBUA,Verao,00-06,0,0,0,0,
SBUA,Verao,06-12,0,0,0,0,
SBUA,Verao,12-18,0,0,0,0,
SBUA,Verao,18-24,0,0,0,0,
SBUA,Verao,TODOS,0,0,0,0,
SBUA,Outono,00-06,0,0,0,0,
SBUA,Outono,06-12,0,0,0,0,
SBUA,Outono,12-18,0,0,0,0,
SBUA,Outono,18-24,0,0,0,0,
SBUA,Outono,TODOS,0,0,0,0,
SBUA,Inverno,00-06,0,0,0,0,
SBUA,Inverno,06-12,0,0,0,0,
SBUA,Inverno,12-18,0,0,0,0,
SBUA,Inverno,18-24,0,0,0,0,
SBUA,Inverno,TODOS,0,0,0,0,
SBUA,Primavera,00-06,0,0,0,0,
SBUA,Primavera,06-12,0,0,0,0,
SBUA,Primavera,12-18,0,0,0,0,
SBUA,Primavera,18-24,0,0,0,0,
SBUA,Primavera,TODOS,0,0,0,0,
SBUA,TODAS,00-06,0,0,0,0,
SBUA,TODAS,06-12,0,0,0,0,
SBUA,TODAS,12-18,0,0,0,0,
SBUA,TODAS,18-24,0,0,0,0,
SBUA,TODAS,TODOS,0,0,0,0,
SBUG,Verao,00-06,0,0,0,0,
SBUG,Verao,06-12,0,0,0,0,
SBUG,Verao,12-18,0,0,0,0,
SBUG,Verao,18-24,0,0,0,0,
SBUG,Verao,TODOS,0,0,0,0,
SBUG,Outono,00-06,0,0,0,0,
SBUG,Outono,06-12,0,0,0,0,
SBUG,Outono,12-18,0,0,0,0,
SBUG,Outono,18-24,0,0,0,0,
SBUG,Outono,TODOS,0,0,0,0,
SBUG,Inverno,00-06,0,0,0,0,
SBUG,Inverno,06-12,0,0,0,0,
SBUG,Inverno,12-18,0,0,0,0,
SBUG,Inverno,18-24,0,0,0,0,
SBUG,Inverno,TODOS,0,0,0,0,
SBUG,Primavera,00-06,0,0,0,0,
SBUG,Primavera,06-12,0,0,0,0,
SBUG,Primavera,12-18,0,0,0,0,
SBUG,Primavera,18-24,0,0,0,0,
SBUG,Primavera,TODOS,0,0,0,0,
SBUG,TODAS,00-06,0,0,0,0,
SBUG,TODAS,06-12,0,0,0,0,
SBUG,TODAS,12-18,0,0,0,0,
SBUG,TODAS,18-24,0,0,0,0,
SBUG,TODAS,TODOS,0,0,0,0,
SBVG,Verao,00-06,0,0,0,0,
SBVG,Verao,06-12,0,0,0,0,
SBVG,Verao,12-18,0,0,0,0,
SBVG,Verao,18-24,0,0,0,0,
SBVG,Verao,TODOS,0,0,0,0,
SBVG,Outono,00-06,0,0,0,0,
SBVG,Outono,06-12,0,0,0,0,
SBVG,Outono,12-18,0,0,0,0,
SBVG,Outono,18-24,0,0,0,0,
SBVG,Outono,TODOS,0,0,0,0,
SBVG,Inverno,00-06,0,0,0,0,
SBVG,Inverno,06-12,0,0,0,0,
SBVG,Inverno,12-18,0,0,0,0,
SBVG,Inverno,18-24,0,0,0,0,
SBVG,Inverno,TODOS,0,0,0,0,
SBVG,Primavera,00-06,0,0,0,0,
SBVG,Primavera,06-12,0,0,0,0,
SBVG,Primavera,12-18,0,0,0,0,
SBVG,Primavera,18-24,0,0,0,0,
SBVG,Primavera,TODOS,0,0,0,0,
SBVG,TODAS,00-06,0,0,0,0,
SBVG,TODAS,06-12,0,0,0,0,
SBVG,TODAS,12-18,0,0,0,0,
SBVG,TODAS,18-24,0,0,0,0,
SBVG,TODAS,TODOS,0,0,0,0,
SBVH,Verao,00-06,0,0,0,0,
SBVH,Verao,06-12,0,0,0,0,
SBVH,Verao,12-18,0,0,0,0,
SBVH,Verao,18-24,0,0,0,0,
SBVH,Verao,TODOS,0,0,0,0,
SBVH,Outono,00-06,0,0,0,0,
SBVH,Outono,06-12,0,0,0,0,
SBVH,Outono,12-18,0,0,0,0,
SBVH,Outono,18-24,0,0,0,0,
SBVH,Outono,TODOS,0,0,0,0,
SBVH,Inverno,00-06,0,0,0,0,
SBVH,Inverno,06-12,0,0,0,0,
SBVH,Inverno,12-18,0,0,0,0,
SBVH,Inverno,18-24,0,0,0,0,
SBVH,Inverno,TODOS,0,0,0,0,
SBVH,Primavera,00-06,0,0,0,0,
SBVH,Primavera,06-12,0,0,0,0,
SBVH,Primavera,12-18,0,0,0,0,
SBVH,Primavera,18-24,0,0,0,0,
SBVH,Primavera,TODOS,0,0,0,0,
SBVH,TODAS,00-06,0,0,0,0,
SBVH,TODAS,06-12,0,0,0,0,
SBVH,TODAS,12-18,0,0,0,0,
SBVH,TODAS,18-24,0,0,0,0,
SBVH,TODAS,TODOS,0,0,0,0,
SBZM,Verao,00-06,1,1,0,0,100.0
SBZM,Verao,06-12,0,0,0,0,
SBZM,Verao,12-18,1,1,0,0,100.0
SBZM,Verao,18-24,0,0,0,0,
SBZM,Verao,TODOS,2,2,0,0,100.0
SBZM,Outono,00-06,0,0,0,0,
SBZM,Outono,06-12,0,0,0,0,
SBZM,Outono,12-18,1,1,0,0,100.0
SBZM,Outono,18-24,0,0,0,0,
SBZM,Outono,TODOS,1,1,0,0,100.0
SBZM,Inverno,00-06,1,1,0,0,100.0
SBZM,Inverno,06-12,0,0,0,0,
SBZM,Inverno,12-18,1,0,0,1,0.0
SBZM,Inverno,18-24,3,2,1,0,66.7
SBZM,Inverno,TODOS,5,3,1,1,60.0
SBZM,Primavera,00-06,1,0,0,1,0.0
SBZM,Primavera,06-12,1,1,0,0,100.0
SBZM,Primavera,12-18,2,2,0,0,100.0
SBZM,Primavera,18-24,2,1,0,1,50.0
SBZM,Primavera,TODOS,6,4,0,2,66.7
SBZM,TODAS,00-06,3,2,0,1,66.7
SBZM,TODAS,06-12,1,1,0,0,100.0
SBZM,TODAS,12-18,5,4,0,1,80.0
SBZM,TODAS,18-24,5,3,1,1,60.0
SBZM,TODAS,TODOS,14,10,1,3,71.4
SDIY,Verao,00-06,0,0,0,0,
SDIY,Verao,06-12,0,0,0,0,
SDIY,Verao,12-18,0,0,0,0,
SDIY,Verao,18-24,0,0,0,0,
SDIY,Verao,TODOS,0,0,0,0,
SDIY,Outono,00-06,0,0,0,0,
SDIY,Outono,06-12,0,0,0,0,
SDIY,Outono,12-18,0,0,0,0,
SDIY,Outono,18-24,0,0,0,0,
