ident,latitude_deg,longitude_deg,iata_code
SDFD,-20.276901,-50.214937,
SNFU,-20.0028,-48.958401,
BR-2214,-28.894847,-51.855331,
SWGI,-11.7396,-49.132198,GRP
SDJA,-22.194598,-47.861839,
SBIT,-18.4447,-49.213402,ITR
SDLP,-22.5784,-48.774601,
SDME,-21.629456,-48.392816,
SDOR,-20.747394,-47.889806,
SDOU,-22.966598,-49.912049,OUS
SNPA,-19.8426,-44.6012,
SNPD,-18.672673,-46.491292,POJ
SDPD,-22.943611,-45.431389,
SNUH,-20.438600540200003,-45.992801666300004,
SDEN,-27.1665,-48.6218,
SBTV,-16.541416,-39.10811,
SNJR,-21.085638,-44.225299,JDR
SDTP,-21.889052,-50.505052,
BR-0122,-28.509722,-50.918331,
SNVR,-13.024053,-38.665727,
SBCP,-21.698299,-41.301701,CAW
SBCR,-19.01193,-57.672772,CMG
SBPF,-28.243976,-52.32777,PFB
SBHT,-3.253144,-52.253938,ATM
SBJE,-2.906425,-40.357338,JJD
SDIY,-12.200694,-38.906164,FEC
SBIP,-19.470699,-42.487598,IPN
SBZM,-21.513086,-43.173069,IZA
SBMY,-5.81138,-61.278301,MNX
SBTB,-1.4896,-56.396801,TMT
SBPB,-2.89375,-41.731998,PHB
SBTT,-4.25567,-69.935799,TBT
SBCV,-17.6523,-39.253101,CRQ
SBBQ,-21.2672,-43.76101,
SBIC,-3.126539,-58.481668,ITA
SBEK,-6.23316,-57.776901,JCR
SBOI,3.85412,-51.797056,OYK
SBPN,-10.719402,-48.3997,PNB
SBSC,-22.9324,-43.719101,SNZ
SBTL,-24.317801,-50.6516,TEC
SBLE,-12.4823,-41.277,LEC
SSZR,-27.90658,-54.520628,SRA
SBTD,-24.6863,-53.697498,TOW
SBRR,-2.756644,-42.803187,BRB
SBDB,-21.2473,-56.452399,BYO
SBCD,-26.787423,-50.939942,CFC
SSKW,-11.496,-61.4508,OAL
SNRU,-8.28239,-36.0135,CAU
SSFB,-26.05938,-53.063827,FBE
SBSO,-12.479177,-55.672341,SMT
SNTF,-17.524392,-39.668499,TXF
SDAD,-21.696275,-51.097509,
SSAP,-23.609099,-51.384301,APU
SDBA,-20.877218,-47.585757,
BR-1149,-21.281944,-50.326942,
SDIH,-23.563384,-46.071598,
SWKC,-16.0436,-57.629902,CCX
SSCF,-25.426398,-49.524194,
SWEK,-13.574444,-52.270557,CQA
SDCA,-24.034346,-48.356246,
SNCT,-19.7253,-42.112099,
SSQT,-24.807723,-49.959651,
SWKT,-18.216801,-47.8997,TLZ
SNXB,-21.917066,-44.96817,
SSCD,-18.839125,-52.488116,
SNCX,-19.487476,-40.579362,QCH
SDXJ,-18.491283,-53.168135,
SDDR,-21.460501,-51.606899,
SSER,-27.663614,-52.271489,ERM
SDIB,-22.1581,-46.775299,
SSFR,-20.278662,-49.187636,
SNGN,-8.83428,-36.4716,QGP
SWGO,-15.342632,-49.13533,
SJSH,-27.372117,-48.614509,
SNGI,-14.2082,-42.746101,GNM
SDYW,-23.941345,-48.881775,
SDZM,-23.9224,-48.818298,
BR-2265,-24.135279,-49.328335,
SDIV,-20.374843,-47.769066,
SDJL,-20.292296,-50.545546,JLS
SSJA,-27.171514,-51.553327,JCB
SDLL,-22.225963,-47.380834,
SSOK,-23.21456,-51.1836,
SSLN,-27.159999847399998,-49.5424995422,LOI
SILC,-13.037861,-55.95025,LVR
SNJM,-20.259722,-42.183887,JMA
SDMC,-22.9195,-42.830898,JMR
SDLY,-21.623884,-48.351095,
SSNG,-29.71940040588379,-51.48939895629883,QGF
SSMT,-31.103599548339844,-50.910301208496094,
SDNM,-13.821021,-56.038591,NVM
SDNH,-21.497551,-49.234441,
SDDV,-21.12886,-48.845197,
SWTO,-10.1742,-48.9328,
SWPI,-2.673521,-56.777625,PIN
SDPY,-22.027611,-47.421498,
SIPK,-16.4974,-56.422199,
SNEC,-16.712959,-39.142413,
SNRD,-17.296976,-39.271131,PDF
BR-1863,-24.531699,-47.840502,
SJRG,-32.083065,-52.167184,RIG
SDBP,-15.736869,-51.116102,
SILT,-20.228473,-50.968943,SFV
SDJV,-22.017744,-46.840779,
SNFW,-8.391481,-42.247088,
SDJO,-20.594095,-47.841211,
BR-2270,-20.881442,-49.388393,
SNMX,-18.7213,-39.833698,SBJ
SDTF,-23.3319,-47.8783,
SNTO,-17.8923,-41.513599,TFL
SBTR,-29.4149,-49.810001,TSQ
SSVN,-28.935407,-51.568067,
SSVI,-26.999701,-51.141899,VIA
SBME,-22.343,-41.765999,MEA
SBMD,-0.889839,-52.6022,MEU
SWGN,-7.22787,-48.240501,AUX
SN6L,-3.614488,-40.231426,JSO
BR-0569,-14.907885,-40.914804,VDC
SBBG,-31.390499,-54.112202,BGX
SBTS,2.224537,-55.944711,
SBAN,-16.2292,-48.964298,
SBBW,-15.861417,-52.389008,BPG
SBCI,-7.32044,-47.458698,CLN
SNCP,-27.634128,-50.358253,EEA
SNLN,-19.355202,-40.07128,LHN
SBCC,-9.33394,-54.965401,
SNQX,-4.979006,-38.987622,
SBAF,-22.875099,-43.384701,
SBJH,-23.426886,-47.165658,JHF
SBTK,-8.155534,-70.782985,TRQ
SWBC,-0.981191,-62.918603,BAZ
SWBR,-4.40634,-59.602402,RBB
SNVS,-1.63653,-50.4436,BVS
SWCA,-4.871473,-66.897552,CAF
SSGY,-24.0811,-54.1917,GGJ
SNGA,-20.6465,-40.491901,GUZ
SWBG,-15.1934,-59.3848,LCB
SNSM,-0.696111,-47.336111,OPP
SNHS,-8.061433,-38.328888,SET
SSUM,-23.7987,-53.313801,UMU
SBTC,-15.354358,-38.998729,UNA
SSUV,-26.233224,-51.066754,UVI
SNEE,-28.43248,-51.023322,VCC
SJOJ,-4.870714,-47.390409,
SJER,-17.360044,-50.338433,
SWHP,-14.019959,-52.152003,GGB
SSAG,-19.711728,-52.726921,
SSLT,-29.811595,-55.894707,ALQ
SNFE,-21.4314,-45.932098,
BR-0687,-11.560653,-47.147057,
SDU3,-11.66442,-47.177707,
SWFZ,-9.987398,-56.675869,
BR-0371,-10.068612,-55.995278,
SJTF,-13.061944007873535,-62.25749969482422,
BR-2160,-20.57995,-49.074778,
SSXN,-8.298333333,-55.11472222,
BR-3022,-17.095972,-53.346133,
BR-0451,-17.926765,-53.220476,
SBAM,2.07751,-50.8582,
BR-2167,-12.9936,-39.639902,
BR-0031,-9.1736,-43.0513,
BR-2647,-19.507939,-55.614402,
SSGX,-19.569416,-56.245297,
SSKB,-19.474443435668945,-56.377220153808594,
